"Title:","Arrests by Race from the Arrests Database"
"SubTitle:","State: California - Adult Juvenile: Adult and Juvenile"
"Time:","1980 - 2020"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
"Citation:","Criminal Justice Information Services Division, Federal Bureau of Investigation, Federal Bureau of Investigation (2022-02-17). Arrests: Arrests by Race | California | Murder and Non-Negligent Manslaughter | Forcible Rape | Robbery | Burglary - Breaking or Entering | Stolen property - Buying, Receiving, Poss. | Sex Offenses (except forcible rape and prostitution) | Sale/Manufacturing  (Subtotal) | Possession (Subtotal) | Driving Under the Influence | White | Black or African American | Adult and Juvenile, 1980 - 2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  010-002-002 doi:https://doi.org/10.6068/DP18466F2A6DB89"
"ColumnCount:",19
"RowCount:",41

"Time","California, Murder and Non-Negligent Manslaughter, White, Adult and Juvenile, Arrests","California, Murder and Non-Negligent Manslaughter, Black or African American, Adult and Juvenile, Arrests","California, Forcible Rape, White, Adult and Juvenile, Arrests","California, Forcible Rape, Black or African American, Adult and Juvenile, Arrests","California, Robbery, White, Adult and Juvenile, Arrests","California, Robbery, Black or African American, Adult and Juvenile, Arrests","California, Burglary - Breaking or Entering, White, Adult and Juvenile, Arrests","California, Burglary - Breaking or Entering, Black or African American, Adult and Juvenile, Arrests","California, Stolen property - Buying, Receiving, Poss., White, Adult and Juvenile, Arrests","California, Stolen property - Buying, Receiving, Poss., Black or African American, Adult and Juvenile, Arrests","California, Sex Offenses (except forcible rape and prostitution), White, Adult and Juvenile, Arrests","California, Sex Offenses (except forcible rape and prostitution), Black or African American, Adult and Juvenile, Arrests","California, Sale/Manufacturing  (Subtotal), White, Adult and Juvenile, Arrests","California, Sale/Manufacturing  (Subtotal), Black or African American, Adult and Juvenile, Arrests","California, Possession (Subtotal), White, Adult and Juvenile, Arrests","California, Possession (Subtotal), Black or African American, Adult and Juvenile, Arrests","California, Driving Under the Influence, White, Adult and Juvenile, Arrests","California, Driving Under the Influence, Black or African American, Adult and Juvenile, Arrests"
"1980",2014,1129,2708,1704,13729,12617,61973,20959,18944,6284,10931,2257,10786,5778,63641,18324,282474,27029
"1981",2554,1597,2660,1631,13876,13386,62602,22950,19893,7411,12512,2659,7955,2959,60913,15513,305598,28128
"1982",2126,1300,2558,1668,13490,13117,62372,22842,19974,6772,12597,2629,9692,3617,68388,17382,308622,29219
"1983",2067,1357,2723,1603,11581,12070,58935,21009,19093,6495,14312,3336,13230,6703,88135,26010,320750,28433
"1984",2296,1231,2755,1541,11430,11448,56251,19133,18577,6370,16211,3147,11512,6292,87391,21731,323463,25390
"1985",1985,1092,2547,1606,11825,12151,58744,18784,19657,6262,16197,3333,20850,11096,113294,29641,320583,22735
"1986",2027,1038,2880,1584,12432,12223,59641,17491,20933,6234,16722,3361,19164,14754,117758,28705,323556,19982
"1987",1930,1087,2852,1636,11486,11605,56027,16730,20588,5959,17149,3375,24178,16001,122702,36519,326360,19582
"1988",1952,1130,2882,1525,11771,12026,56820,17650,22404,6785,15652,3002,25048,20852,123720,43856,303065,17648
"1989",2230,1124,2897,1583,13580,13288,61796,18250,24381,7480,15660,2936,49562,31407,163907,58728,313632,17447
"1990",2529,1302,3037,1697,16918,14636,60473,17201,22785,6668,17359,3270,48019,24321,133119,42735,334778,20470
"1991",2553,1137,2841,1489,17346,13541,59757,16629,21617,6064,15120,2718,42677,20108,110704,36280,286759,17861
"1992",2335,1038,2631,1342,17489,13198,60267,18653,20887,6615,15142,2661,45997,18455,125709,36285,236533,16577
"1993",2204,1007,2421,1092,16272,12891,56838,16451,21778,5935,13526,2522,44323,16552,138817,32842,212206,15300
"1994",2045,851,2174,1072,15855,11661,53245,14952,22529,5599,13214,2525,44529,16376,168742,38644,189604,14222
"1995",2041,703,2106,916,16177,10084,49441,13162,22639,4751,11983,2086,40825,12356,168561,34040,183490,12710
"1996",1801,657,2192,955,15522,9928,47570,13242,18405,4466,13096,2593,39616,14917,159971,38589,185742,13165
"1997",1587,580,2169,871,14244,9163,44975,12518,17949,3898,14054,3013,37693,14937,182869,39850,176323,12781
"1998",1602,470,2171,791,13172,7935,42801,11529,15499,3345,14130,2839,34981,15648,168466,41775,174031,12658
"1999",1320,417,2070,748,11508,6969,37620,10566,12268,2907,13554,2644,32454,15543,163018,39632,173944,12996
"2000",1195,400,2004,634,10411,6426,36045,9869,12350,2683,12652,2399,29911,13948,166174,37899,168528,12368
"2001",1332,407,2048,615,10417,6486,37540,10235,13101,2747,12792,2574,28852,12877,166396,37116,163362,12537
"2002",1384,458,1898,601,10066,6613,37866,10018,14993,2810,13065,2696,29093,13852,172430,37113,163814,12970
"2003",1351,458,1850,567,10003,7229,39456,10147,15835,2727,12533,2787,29604,14430,187265,38957,170012,13191
"2004",1464,476,1667,522,10196,7428,40123,10153,17995,2790,12127,3078,29910,15403,197742,41965,167227,12687
"2005",1431,488,1548,521,10172,7736,39975,10313,18664,2825,12001,3171,30248,15474,214121,42656,166717,12935
"2006",1399,539,1624,467,11720,8390,40853,10554,18136,2967,12231,3200,30362,15861,205800,46069,182322,13817
"2007",1509,502,1670,446,12583,8653,42605,11144,16800,3013,11944,3199,29952,15454,197501,45705,188013,14738
"2008",1381,436,1600,454,13366,8806,43712,11974,15596,3044,11382,2917,29503,15210,178984,42118,196982,15750
"2009",1347,429,1555,441,13104,8214,43028,11510,14237,2818,11013,2668,28863,12022,173033,34976,190155,16271
"2010",1208,417,1474,452,11659,7096,41501,10998,14305,2612,10025,2096,29763,9320,177048,30140,177541,17015
"2011",1117,421,1359,365,10635,6596,39605,11958,14563,2593,9306,2000,26706,7081,135119,19944,163753,15192
"2012",1163,425,1273,367,10200,6263,38902,12287,16248,3023,9040,1961,24901,6498,142466,19940,151599,14388
"2013",1022,355,1210,337,9467,6101,37105,11594,16073,2955,8139,1781,25625,6337,157543,21186,139806,13674
"2014",980,388,1872,463,9017,5428,35600,11299,14084,2784,7584,1773,23522,6325,169020,22856,134313,13833
"2015",1020,375,1944,442,9824,5718,32762,10100,13542,2375,7255,1794,22119,5633,153487,19411,122996,12569
"2016",964,401,1971,471,9746,5789,30739,8844,13563,2512,7095,1769,20663,5043,165657,21207,112779,11968
"2017",1054,376,1948,511,10346,6244,28289,8757,14303,2612,7129,1787,15889,3624,166125,21035,107066,11182
"2018",990,370,1992,450,10127,6202,26125,8148,13321,2494,6894,1656,15351,3210,172462,21896,110025,11671
"2019",913,381,1791,351,9723,6072,25233,7906,12612,2366,7059,1514,15205,2942,172715,22178,107268,11581
"2020",1079,462,1600,392,8717,4663,20026,5518,12054,2224,5703,1299,14394,2409,145699,18007,82802,9898



"Publisher:", "Federal Bureau of Investigation"
"Copyright:", "The data contained in Data Planet(tm): A SAGE Publishing Resource is made available via license agreement with subscribing organizations. Your organization's license may vary from this version."